Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7336,7341,5,4,0,0,0,,LF270_,3742,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,6,7341,7560,219,8,1,0,6,,LF270_,3818,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,7560,8540,980,2,0,1,0,,LF270_,3847,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8540,8547,7,3,0,0,0,,LF270_,3850,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8547,8550,3,5,0,0,0,,LF270_,3905,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8550,8555,5,4,0,0,0,,LF270_,3919,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8555,8589,34,8,0,2,0,,LF270_,3972,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8589,8596,7,3,0,1,0,,LF270_,3999,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8596,8599,3,5,0,1,0,,LF270_,4005,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8599,8604,5,4,0,0,0,,LF270_,4010,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,7,8604,8696,92,8,0,0,1,,LF270_,4132,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,8,8696,8732,36,2,0,1,0,,LF270_,4135,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,8,8732,8739,7,3,0,1,0,,LF270_,4139,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,8,8739,8742,3,5,0,0,0,,LF270_,4142,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,8,8742,8747,5,4,1,0,0,,LF270_,4262,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,8,8747,9125,378,8,0,0,5,,LF270_,4356,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9125,9525,400,2,0,1,0,,LF270_,4368,2,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9525,9532,7,3,0,0,0,,LF270_,4369,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9532,9535,3,5,0,0,0,,LF270_,4375,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9535,9540,5,4,0,0,0,,LF270_,4378,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9540,9578,38,8,0,2,0,,LF270_,4381,4,0,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9578,9585,7,3,0,0,0,,LF270_,4382,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9585,9588,3,5,0,0,0,,LF270_,4383,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9588,9593,5,4,1,0,0,,LF270_,4385,8,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,9,9593,9659,66,8,0,0,1,,LF270_,4386,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9659,9686,27,2,0,1,0,,LF270_,4392,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9686,9693,7,3,0,1,0,,LF270_,4395,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9693,9696,3,5,0,0,0,,LF270_,4400,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9696,9701,5,4,0,0,0,,LF270_,4408,8,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9701,9706,5,8,0,1,0,,LF270_,4410,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9706,9713,7,3,0,0,0,,LF270_,4415,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9713,9716,3,5,0,0,0,,LF270_,4418,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9716,9721,5,4,0,0,0,,LF270_,4423,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,10,9721,9793,72,8,3,0,41,,LF270_,4756,8,2,3,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,3,3,LF270_,11,9793,12000,2207,2,0,0,0,,LF270_,4813,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,0,0,150,150,1,0,0,0,,LF270_,4872,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,0,150,153,3,6,0,0,16,,LF270_,4921,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,1,153,848,695,2,0,1,0,,LF270_,4922,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,1,848,855,7,3,0,0,0,,LF270_,4929,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,1,855,858,3,5,0,0,0,,LF270_,4930,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,1,858,863,5,4,0,0,0,,LF270_,4941,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,1,863,1129,266,8,0,0,18,,LF270_,4942,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,2,1129,2398,1269,2,0,1,0,,LF270_,4943,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,2,2398,2405,7,3,0,0,0,,LF270_,4945,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,2,2405,2408,3,5,0,0,0,,LF270_,4946,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,2,2408,2413,5,4,0,0,0,,LF270_,4947,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,2,2413,2415,2,8,0,0,3,,LF270_,4960,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
